,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,1,tket,GENERATED,,71,95,1,71,1,0 days 00:00:00.028710000,1,26,26,1,27,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,2,tket,GENERATED,,128,211,1,128,1,0 days 00:00:00.058997000,1,40,40,1,41,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,3,tket,GENERATED,,113,178,1,113,1,0 days 00:00:00.048732000,1,36,36,1,37,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,4,tket,GENERATED,,170,290,1,171,1,0 days 00:00:00.097786000,1,48,48,1,49,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,5,tket,GENERATED,,50,73,1,51,1,0 days 00:00:00.024283000,1,22,22,1,23,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,6,tket,GENERATED,,95,135,1,96,1,0 days 00:00:00.036708000,1,32,32,1,33,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,7,tket,GENERATED,,86,124,1,87,1,0 days 00:00:00.037267000,1,30,30,1,31,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,8,tket,GENERATED,,125,202,1,125,1,0 days 00:00:00.053107000,1,38,38,1,39,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,9,tket,GENERATED,,132,234,1,132,1,0 days 00:00:00.069630000,1,42,42,1,43,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,10,tket,GENERATED,,113,178,1,113,1,0 days 00:00:00.046297000,1,36,36,1,37,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,11,tket,GENERATED,,86,124,1,87,1,0 days 00:00:00.036295000,1,30,30,1,31,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,12,tket,GENERATED,,128,211,1,128,1,0 days 00:00:00.063232000,1,40,40,1,41,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,13,tket,GENERATED,,78,112,1,78,1,0 days 00:00:00.030607000,1,28,28,1,29,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,14,tket,GENERATED,,100,160,1,100,1,0 days 00:00:00.041015000,1,34,34,1,35,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,15,tket,GENERATED,,125,202,1,125,1,0 days 00:00:00.051843000,1,38,38,1,39,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,16,tket,GENERATED,,35,52,1,36,1,0 days 00:00:00.014231000,1,16,16,1,17,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,17,tket,GENERATED,,125,202,1,125,1,0 days 00:00:00.056501000,1,38,38,1,39,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,18,tket,GENERATED,,95,135,1,96,1,0 days 00:00:00.039935000,1,32,32,1,33,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,19,tket,GENERATED,,128,211,1,128,1,0 days 00:00:00.060007000,1,40,40,1,41,1,,,,gray,nash,count,0.09523809523809523,36q-square
0,20,tket,GENERATED,,798,1441,8,805,10,0 days 00:00:00.366656000,10,157,255,6,163,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,21,tket,GENERATED,,709,1209,8,717,10,0 days 00:00:00.311947000,10,163,231,8,171,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,22,tket,GENERATED,,761,1264,10,769,10,0 days 00:00:00.312491000,10,201,232,9,210,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,23,tket,GENERATED,,625,1247,9,633,10,0 days 00:00:00.293056000,10,163,254,6,169,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,24,tket,GENERATED,,644,1170,10,650,10,0 days 00:00:00.412741000,10,175,224,8,183,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,25,tket,GENERATED,,631,1051,9,638,10,0 days 00:00:00.261787000,10,177,206,9,186,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,26,tket,GENERATED,,608,1104,9,616,10,0 days 00:00:00.278322000,10,161,206,8,169,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,27,tket,GENERATED,,650,1226,9,657,10,0 days 00:00:00.272976000,10,148,230,7,155,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,28,tket,GENERATED,,623,1269,10,631,10,0 days 00:00:00.367805000,10,185,235,8,193,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,29,tket,GENERATED,,695,1175,9,702,10,0 days 00:00:00.314939000,10,193,227,8,201,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,30,tket,GENERATED,,559,1125,10,565,10,0 days 00:00:00.293576000,10,149,222,7,156,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,31,tket,GENERATED,,530,963,10,538,10,0 days 00:00:00.245653000,10,148,188,8,156,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,32,tket,GENERATED,,707,1123,10,715,10,0 days 00:00:00.377327000,10,174,204,9,183,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,33,tket,GENERATED,,625,1210,9,631,10,0 days 00:00:00.317051000,10,152,234,7,159,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,34,tket,GENERATED,,627,1136,10,636,10,0 days 00:00:00.285117000,10,164,232,8,172,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,35,tket,GENERATED,,662,1170,9,669,10,0 days 00:00:00.348171000,10,170,222,7,177,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,36,tket,GENERATED,,635,1236,10,641,10,0 days 00:00:00.310347000,10,166,225,8,174,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,37,tket,GENERATED,,685,1157,10,693,10,0 days 00:00:00.310309000,10,172,196,9,181,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,38,tket,GENERATED,,783,1431,10,789,10,0 days 00:00:00.389302000,10,187,249,8,195,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,39,tket,GENERATED,,684,1362,8,691,10,0 days 00:00:00.376868000,10,174,222,8,182,10,,,,gray,nash,count,0.09523809523809523,36q-square
0,40,tket,GENERATED,,5933,8830,100,6018,100,0 days 00:00:01.995142000,100,1615,1682,96,1711,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,41,tket,GENERATED,,5770,9519,97,5849,100,0 days 00:00:02.257949000,100,1564,1731,91,1655,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,42,tket,GENERATED,,6063,9206,99,6146,100,0 days 00:00:02.272256000,100,1647,1755,95,1742,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,43,tket,GENERATED,,5854,9091,99,5930,100,0 days 00:00:02.194504000,100,1607,1699,95,1702,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,44,tket,GENERATED,,5845,8884,98,5933,100,0 days 00:00:02.215648000,100,1555,1687,95,1650,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,45,tket,GENERATED,,5791,9074,97,5872,100,0 days 00:00:02.289679000,100,1604,1700,95,1699,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,46,tket,GENERATED,,5822,9079,99,5905,100,0 days 00:00:02.352585000,100,1566,1673,94,1660,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,47,tket,GENERATED,,5802,8881,98,5888,100,0 days 00:00:02.089813000,100,1579,1696,94,1673,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,48,tket,GENERATED,,5934,9025,99,6015,100,0 days 00:00:02.316759000,100,1624,1718,96,1720,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,49,tket,GENERATED,,6019,8846,98,6109,100,0 days 00:00:02.178847000,100,1639,1698,97,1736,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,50,tket,GENERATED,,6031,9679,95,6110,100,0 days 00:00:02.572739000,100,1579,1774,91,1670,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,51,tket,GENERATED,,5604,8675,98,5687,100,0 days 00:00:02.263543000,100,1568,1654,96,1664,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,52,tket,GENERATED,,5722,9281,98,5802,100,0 days 00:00:02.322055000,100,1613,1745,94,1707,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,53,tket,GENERATED,,5692,8861,98,5777,100,0 days 00:00:02.208713000,100,1580,1707,94,1674,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,54,tket,GENERATED,,5542,8651,99,5625,100,0 days 00:00:02.171165000,100,1584,1652,96,1680,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,55,tket,GENERATED,,5675,9191,96,5756,100,0 days 00:00:02.271731000,100,1546,1694,94,1640,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,56,tket,GENERATED,,5887,9233,99,5973,100,0 days 00:00:02.218183000,100,1579,1717,93,1672,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,57,tket,GENERATED,,6214,9432,99,6301,100,0 days 00:00:02.350650000,100,1661,1755,95,1756,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,58,tket,GENERATED,,5930,9150,98,6008,100,0 days 00:00:02.337738000,100,1639,1746,95,1734,100,,,,gray,nash,count,0.09523809523809523,36q-square
0,59,tket,GENERATED,,5757,9081,97,5836,100,0 days 00:00:02.242166000,100,1567,1726,92,1659,100,,,,gray,nash,count,0.09523809523809523,36q-square
